content_type,idle_time,reading_time,pause_count,seek_count,tab_switches,total_scrolls,video_watched_percentage,is_video_playing,engagement_label
video,66,148,2,6,3,0,24.8,False,0.0
video,120,266,0,9,4,0,26.0,False,0.0
video,91,1117,6,0,1,0,96.8,True,1.0
non_video,52,254,0,0,0,3,0.0,False,0.5
non_video,30,307,0,0,1,17,0.0,False,1.0
non_video,37,126,0,0,0,9,0.0,False,0.5
video,128,406,4,2,0,0,63.1,True,0.5
video,177,256,2,4,2,0,25.6,True,0.0
video,169,438,2,4,0,0,61.4,False,0.5
video,78,112,0,6,4,0,19.1,False,0.0
video,146,203,0,8,2,0,8.1,False,0.0
non_video,44,241,0,0,1,11,0.0,False,1.0
video,144,610,2,3,2,0,57.5,True,0.5
video,321,894,2,2,2,0,42.6,True,0.5
video,15,1764,3,0,1,0,82.0,False,1.0
non_video,45,91,0,0,4,1,0.0,False,0.0
video,174,743,3,1,0,0,59.6,True,0.5
non_video,29,78,0,0,2,11,0.0,False,0.5
non_video,73,295,0,0,1,7,0.0,False,0.5
video,46,110,1,7,3,0,11.2,False,0.0
video,35,1357,5,2,0,0,89.9,True,1.0
video,24,492,4,1,1,0,82.9,True,1.0
non_video,21,61,0,0,0,6,0.0,False,0.5
video,204,533,4,3,0,0,48.6,True,0.5
non_video,31,111,0,0,2,5,0.0,False,0.5
video,213,587,2,2,0,0,58.7,False,0.5
non_video,18,33,0,0,4,1,0.0,False,0.0
video,119,1255,6,1,1,0,94.6,False,1.0
non_video,18,41,0,0,4,1,0.0,False,0.0
non_video,56,129,0,0,4,3,0.0,False,0.0
video,48,623,2,2,1,0,81.1,False,1.0
video,134,456,2,4,1,0,49.2,False,0.5
non_video,38,51,0,0,1,2,0.0,False,0.0
non_video,54,138,0,0,2,8,0.0,False,0.5
non_video,76,252,0,0,0,11,0.0,False,0.5
video,98,1613,7,1,0,0,80.2,True,1.0
non_video,94,136,0,0,4,2,0.0,False,0.0
video,8,1068,6,1,0,0,93.5,False,1.0
non_video,61,229,0,0,1,9,0.0,False,0.5
video,219,680,1,3,2,0,43.5,False,0.5
non_video,27,54,0,0,1,0,0.0,False,0.0
video,108,1147,3,2,0,0,81.3,True,1.0
non_video,72,105,0,0,2,2,0.0,False,0.0
video,170,1465,4,2,1,0,83.1,True,1.0
video,45,72,2,6,3,0,5.7,False,0.0
non_video,2,515,0,0,1,17,0.0,False,1.0
non_video,38,120,0,0,2,6,0.0,False,0.5
non_video,23,137,0,0,1,18,0.0,False,1.0
video,65,118,0,8,3,0,12.7,False,0.0
non_video,20,236,0,0,0,14,0.0,False,1.0
non_video,27,456,0,0,1,14,0.0,False,1.0
non_video,62,182,0,0,2,11,0.0,False,0.5
non_video,22,98,0,0,0,5,0.0,False,0.5
video,95,263,3,3,2,0,68.8,False,0.5
video,49,107,0,4,2,0,22.0,False,0.0
non_video,43,461,0,0,1,13,0.0,False,1.0
video,46,303,7,2,0,0,93.9,True,1.0
video,48,89,2,5,1,0,27.7,False,0.0
non_video,58,224,0,0,2,9,0.0,False,0.5
non_video,78,199,0,0,1,7,0.0,False,0.5
video,137,210,1,8,1,0,36.4,False,0.0
non_video,25,98,0,0,0,8,0.0,False,0.5
video,114,481,1,3,1,0,41.3,True,0.5
non_video,90,174,0,0,4,2,0.0,False,0.0
non_video,103,548,0,0,0,19,0.0,False,1.0
non_video,72,527,0,0,1,15,0.0,False,1.0
video,71,262,2,3,2,0,73.0,True,0.5
non_video,3,295,0,0,1,14,0.0,False,1.0
non_video,38,282,0,0,1,8,0.0,False,1.0
non_video,36,85,0,0,0,6,0.0,False,0.5
video,11,1582,7,0,0,0,97.0,False,1.0
non_video,102,236,0,0,2,11,0.0,False,0.5
non_video,86,114,0,0,2,2,0.0,False,0.0
non_video,53,260,0,0,2,7,0.0,False,0.5
non_video,27,36,0,0,1,2,0.0,False,0.0
video,162,397,2,2,1,0,67.2,False,0.5
video,12,1310,4,1,0,0,97.2,False,1.0
video,209,1791,4,0,0,0,95.9,True,1.0
non_video,47,111,0,0,3,1,0.0,False,0.0
video,177,455,1,4,1,0,69.2,False,0.5
non_video,47,116,0,0,4,2,0.0,False,0.0
non_video,73,123,0,0,4,0,0.0,False,0.0
non_video,21,396,0,0,1,15,0.0,False,1.0
video,54,130,1,3,2,0,14.5,False,0.0
video,196,263,0,6,1,0,26.3,False,0.0
video,86,246,2,1,1,0,51.0,False,0.5
non_video,84,263,0,0,1,3,0.0,False,0.5
non_video,51,214,0,0,0,8,0.0,False,0.5
video,315,899,2,3,1,0,48.3,False,0.5
video,155,394,3,2,0,0,48.7,False,0.5
video,0,1018,6,0,1,0,90.1,True,1.0
non_video,90,291,0,0,2,10,0.0,False,0.5
non_video,27,134,0,0,1,10,0.0,False,0.5
non_video,127,166,0,0,2,1,0.0,False,0.0
video,90,333,3,2,0,0,70.1,True,0.5
non_video,69,214,0,0,0,7,0.0,False,0.5
video,133,195,2,5,2,0,27.1,False,0.0
video,196,256,1,3,1,0,38.6,True,0.0
non_video,43,82,0,0,4,4,0.0,False,0.0
video,172,888,3,1,0,0,98.1,True,1.0
video,149,188,1,3,2,0,14.8,True,0.0
video,363,861,2,1,1,0,44.7,True,0.5
video,61,722,2,0,1,0,84.9,True,1.0
video,118,334,4,1,2,0,75.5,False,0.5
video,88,1174,5,0,0,0,91.2,False,1.0
non_video,42,205,0,0,0,7,0.0,False,0.5
non_video,42,208,0,0,0,5,0.0,False,0.5
video,63,85,0,5,3,0,12.2,True,0.0
video,161,1177,4,0,0,0,84.6,True,1.0
video,150,1166,7,0,1,0,88.6,True,1.0
non_video,45,593,0,0,0,11,0.0,False,1.0
non_video,86,241,0,0,0,10,0.0,False,0.5
non_video,84,174,0,0,3,1,0.0,False,0.0
non_video,59,552,0,0,0,14,0.0,False,1.0
video,186,518,3,2,0,0,78.3,False,0.5
video,106,242,2,4,2,0,32.1,True,0.0
non_video,64,184,0,0,0,8,0.0,False,0.5
video,119,478,3,1,1,0,74.7,False,0.5
video,122,579,1,2,2,0,40.9,True,0.5
non_video,28,299,0,0,0,9,0.0,False,1.0
non_video,29,130,0,0,0,7,0.0,False,0.5
non_video,49,509,0,0,1,8,0.0,False,1.0
video,151,263,1,9,2,0,23.0,False,0.0
non_video,16,159,0,0,1,13,0.0,False,1.0
video,188,1055,4,1,1,0,91.9,True,1.0
non_video,54,105,0,0,2,0,0.0,False,0.0
video,78,139,0,3,1,0,8.9,True,0.0
video,77,129,1,7,2,0,13.6,True,0.0
video,61,723,6,0,0,0,84.0,False,1.0
video,70,566,7,0,1,0,99.8,False,1.0
non_video,71,266,0,0,2,7,0.0,False,0.5
non_video,17,183,0,0,0,14,0.0,False,1.0
video,174,1027,6,2,1,0,85.3,True,1.0
video,83,121,0,4,4,0,11.4,False,0.0
video,71,162,0,5,2,0,10.1,True,0.0
non_video,58,400,0,0,1,12,0.0,False,1.0
video,282,786,3,4,1,0,64.4,True,0.5
video,238,1576,3,0,0,0,97.0,False,1.0
video,148,633,4,4,2,0,45.5,True,0.5
video,75,160,1,4,3,0,13.8,True,0.0
video,76,103,2,8,3,0,37.9,True,0.0
video,293,657,4,3,1,0,47.5,True,0.5
video,193,1619,6,1,1,0,86.9,True,1.0
video,113,706,2,0,0,0,81.3,False,1.0
non_video,41,323,0,0,1,18,0.0,False,1.0
video,122,208,2,6,1,0,10.0,True,0.0
video,338,793,4,3,0,0,46.3,True,0.5
non_video,62,86,0,0,4,1,0.0,False,0.0
non_video,57,180,0,0,1,9,0.0,False,0.5
non_video,34,65,0,0,3,0,0.0,False,0.0
video,156,1251,6,0,0,0,88.0,True,1.0
video,10,782,7,0,0,0,91.5,True,1.0
video,73,96,0,4,4,0,12.6,True,0.0
video,183,412,2,4,1,0,70.4,True,0.5
video,225,845,3,1,1,0,77.1,False,0.5
video,126,845,4,1,1,0,95.9,True,1.0
video,144,245,1,6,4,0,8.3,False,0.0
non_video,97,158,0,0,2,1,0.0,False,0.0
video,193,1077,5,1,1,0,90.2,True,1.0
video,115,1722,4,2,1,0,82.1,True,1.0
video,177,624,2,2,2,0,61.8,True,0.5
non_video,11,212,0,0,0,9,0.0,False,1.0
video,53,109,1,3,2,0,13.3,False,0.0
non_video,121,288,0,0,2,9,0.0,False,0.5
video,148,423,2,4,1,0,50.7,False,0.5
non_video,34,441,0,0,0,10,0.0,False,1.0
non_video,43,354,0,0,0,13,0.0,False,1.0
video,198,451,3,2,1,0,40.7,False,0.5
video,119,1714,5,2,0,0,99.1,True,1.0
video,205,1614,5,0,0,0,94.5,False,1.0
video,208,1528,3,2,1,0,93.4,True,1.0
video,48,96,2,9,4,0,24.9,True,0.0
non_video,54,225,0,0,0,3,0.0,False,0.5
video,105,461,3,1,0,0,64.3,True,0.5
non_video,3,138,0,0,1,18,0.0,False,1.0
video,88,202,0,5,2,0,12.0,False,0.0
video,67,131,2,6,3,0,19.8,True,0.0
video,286,737,3,3,0,0,46.1,True,0.5
video,84,829,7,0,1,0,96.8,False,1.0
video,196,265,2,9,1,0,27.1,False,0.0
video,118,302,2,3,1,0,72.4,False,0.5
non_video,5,235,0,0,0,16,0.0,False,1.0
video,125,567,1,2,0,0,66.1,False,0.5
video,178,278,1,9,1,0,34.4,False,0.0
video,38,706,4,0,1,0,84.4,False,1.0
non_video,10,232,0,0,1,17,0.0,False,1.0
video,198,723,3,4,2,0,49.8,True,0.5
non_video,13,179,0,0,0,16,0.0,False,1.0
non_video,44,73,0,0,4,1,0.0,False,0.0
non_video,25,66,0,0,0,4,0.0,False,0.5
non_video,44,84,0,0,4,0,0.0,False,0.0
video,58,105,1,6,4,0,29.9,True,0.0
video,44,82,2,5,1,0,28.7,True,0.0
video,241,850,1,4,0,0,54.8,True,0.5
non_video,19,187,0,0,0,13,0.0,False,1.0
video,131,723,6,0,0,0,90.3,True,1.0
non_video,84,225,0,0,1,10,0.0,False,0.5
non_video,16,148,0,0,1,11,0.0,False,1.0
video,67,611,4,0,1,0,88.2,False,1.0
non_video,15,30,0,0,3,4,0.0,False,0.0
non_video,24,80,0,0,1,7,0.0,False,0.5
non_video,14,63,0,0,2,7,0.0,False,0.5
non_video,50,227,0,0,2,11,0.0,False,0.5
video,240,762,4,2,2,0,69.8,False,0.5
non_video,48,239,0,0,2,9,0.0,False,0.5
video,128,532,1,2,1,0,44.2,True,0.5
non_video,66,97,0,0,4,3,0.0,False,0.0
video,290,895,4,3,0,0,60.5,False,0.5
non_video,69,102,0,0,1,1,0.0,False,0.0
non_video,26,226,0,0,1,13,0.0,False,1.0
video,99,244,1,3,0,0,63.5,False,0.5
non_video,126,294,0,0,0,3,0.0,False,0.5
video,129,672,4,0,1,0,96.7,False,1.0
non_video,56,115,0,0,1,0,0.0,False,0.0
video,87,1717,6,1,0,0,87.0,True,1.0
non_video,61,147,0,0,0,4,0.0,False,0.5
non_video,45,82,0,0,3,2,0.0,False,0.0
video,148,224,0,5,2,0,28.0,True,0.0
non_video,44,60,0,0,1,1,0.0,False,0.0
video,107,449,3,2,0,0,79.0,False,0.5
video,81,243,2,1,2,0,75.2,True,0.5
non_video,27,49,0,0,3,1,0.0,False,0.0
video,139,199,2,7,1,0,19.5,False,0.0
non_video,69,161,0,0,2,8,0.0,False,0.5
video,96,743,2,2,0,0,98.3,True,1.0
non_video,47,124,0,0,0,11,0.0,False,0.5
non_video,36,46,0,0,1,1,0.0,False,0.0
video,99,223,2,8,4,0,22.3,True,0.0
video,101,712,3,2,0,0,96.3,False,1.0
video,43,92,2,4,3,0,37.0,True,0.0
non_video,72,138,0,0,2,3,0.0,False,0.0
video,130,466,1,2,2,0,72.1,False,0.5
non_video,19,588,0,0,0,12,0.0,False,1.0
video,120,1115,6,0,1,0,80.3,False,1.0
non_video,84,261,0,0,0,9,0.0,False,0.5
non_video,24,119,0,0,0,5,0.0,False,0.5
non_video,54,123,0,0,2,0,0.0,False,0.0
non_video,49,127,0,0,1,3,0.0,False,0.5
non_video,88,522,0,0,0,16,0.0,False,1.0
video,145,466,4,2,0,0,71.9,True,0.5
video,260,1730,6,2,0,0,88.2,False,1.0
video,139,584,4,4,0,0,69.0,True,0.5
non_video,25,38,0,0,2,0,0.0,False,0.0
non_video,64,251,0,0,1,10,0.0,False,0.5
non_video,39,221,0,0,1,19,0.0,False,1.0
video,113,201,0,3,4,0,31.2,False,0.0
video,20,1750,6,1,1,0,86.8,True,1.0
video,235,601,1,2,1,0,76.5,False,0.5
video,122,165,1,4,1,0,5.6,True,0.0
video,4,1344,4,0,0,0,84.7,True,1.0
video,167,820,1,4,2,0,74.7,True,0.5
video,116,166,2,7,3,0,25.0,False,0.0
non_video,69,292,0,0,0,3,0.0,False,0.5
video,44,61,2,7,4,0,12.8,True,0.0
video,141,502,1,2,2,0,77.0,True,0.5
video,86,412,2,3,0,0,68.2,True,0.5
non_video,43,127,0,0,1,9,0.0,False,0.5
video,127,578,2,3,1,0,63.7,True,0.5
non_video,62,353,0,0,1,12,0.0,False,1.0
video,101,936,5,0,0,0,82.1,False,1.0
non_video,15,155,0,0,1,10,0.0,False,1.0
video,143,225,1,5,4,0,24.6,True,0.0
video,16,1753,7,0,1,0,82.4,False,1.0
video,65,135,1,8,3,0,15.1,True,0.0
video,196,1078,4,1,1,0,99.2,True,1.0
video,53,75,0,5,3,0,20.9,True,0.0
non_video,35,55,0,0,1,3,0.0,False,0.0
video,219,487,3,1,2,0,62.9,False,0.5
video,51,104,2,3,1,0,27.1,True,0.0
non_video,35,126,0,0,1,6,0.0,False,0.5
non_video,88,160,0,0,4,2,0.0,False,0.0
video,205,495,1,3,2,0,59.8,False,0.5
non_video,76,201,0,0,1,8,0.0,False,0.5
non_video,50,229,0,0,2,8,0.0,False,0.5
video,46,180,2,3,2,0,43.5,False,0.5
non_video,84,258,0,0,1,10,0.0,False,0.5
video,184,654,2,3,1,0,43.1,False,0.5
video,164,986,7,2,0,0,94.6,False,1.0
video,131,420,3,4,1,0,40.8,False,0.5
non_video,65,188,0,0,2,4,0.0,False,0.5
video,118,396,4,3,0,0,56.0,True,0.5
video,78,569,3,2,1,0,85.8,False,1.0
video,109,307,3,2,1,0,56.0,True,0.5
video,266,874,3,4,0,0,65.6,True,0.5
video,142,1465,6,2,0,0,81.2,True,1.0
non_video,71,400,0,0,1,12,0.0,False,1.0
non_video,55,138,0,0,1,3,0.0,False,0.5
non_video,33,58,0,0,4,0,0.0,False,0.0
video,142,577,1,3,0,0,42.3,False,0.5
video,61,135,0,6,1,0,29.1,False,0.0
video,167,764,1,3,1,0,51.9,False,0.5
video,97,174,0,3,3,0,39.4,True,0.0
video,90,231,2,3,0,0,71.9,False,0.5
non_video,81,161,0,0,4,0,0.0,False,0.0
video,38,65,0,6,2,0,19.1,True,0.0
non_video,24,62,0,0,0,7,0.0,False,0.5
non_video,32,452,0,0,0,18,0.0,False,1.0
video,126,1183,7,0,1,0,91.4,False,1.0
non_video,34,129,0,0,1,4,0.0,False,0.5
video,187,885,3,2,1,0,60.8,True,0.5
video,37,76,2,7,2,0,37.7,True,0.0
non_video,63,90,0,0,3,2,0.0,False,0.0
non_video,65,154,0,0,4,1,0.0,False,0.0
non_video,2,144,0,0,0,8,0.0,False,1.0
non_video,115,150,0,0,4,2,0.0,False,0.0
non_video,2,373,0,0,0,14,0.0,False,1.0
video,323,1698,2,2,0,0,86.0,True,1.0
video,184,640,3,4,2,0,45.4,True,0.5
video,161,809,2,2,0,0,95.0,False,1.0
video,183,1072,7,0,1,0,81.5,False,1.0
video,240,713,1,2,1,0,72.7,False,0.5
video,12,694,5,0,0,0,84.9,False,1.0
video,107,228,1,5,1,0,29.1,True,0.0
video,95,284,4,2,0,0,52.8,True,0.5
video,210,289,2,9,2,0,17.6,True,0.0
non_video,86,110,0,0,4,2,0.0,False,0.0
non_video,125,179,0,0,3,3,0.0,False,0.0
non_video,42,102,0,0,2,5,0.0,False,0.5
video,184,474,3,1,0,0,60.9,True,0.5
non_video,20,240,0,0,0,13,0.0,False,1.0
video,28,798,7,0,1,0,91.2,False,1.0
non_video,10,249,0,0,1,14,0.0,False,1.0
video,130,1134,3,1,1,0,83.2,False,1.0
video,83,959,6,1,0,0,96.9,False,1.0
video,199,532,1,2,0,0,72.0,False,0.5
video,82,1608,5,2,0,0,85.5,True,1.0
non_video,11,433,0,0,0,11,0.0,False,1.0
video,70,363,6,0,0,0,95.0,False,1.0
non_video,26,102,0,0,2,7,0.0,False,0.5
non_video,78,251,0,0,1,5,0.0,False,0.5
video,22,364,6,2,0,0,80.1,True,1.0
video,148,231,2,5,4,0,37.3,False,0.0
video,120,1346,6,1,1,0,98.9,True,1.0
video,32,62,1,9,3,0,6.9,False,0.0
video,38,70,2,5,1,0,21.5,False,0.0
non_video,43,259,0,0,1,17,0.0,False,1.0
non_video,102,157,0,0,4,2,0.0,False,0.0
non_video,85,591,0,0,1,8,0.0,False,1.0
video,180,712,3,4,2,0,71.1,True,0.5
non_video,83,280,0,0,1,3,0.0,False,0.5
video,245,849,1,2,0,0,57.9,False,0.5
video,57,72,1,4,2,0,11.0,True,0.0
video,188,611,4,2,0,0,58.2,True,0.5
video,153,660,2,1,2,0,79.8,True,0.5
video,242,595,1,2,0,0,77.2,True,0.5
video,79,1225,5,2,1,0,89.5,True,1.0
non_video,29,109,0,0,0,10,0.0,False,0.5
video,173,237,2,9,2,0,32.0,True,0.0
video,56,600,4,2,1,0,83.7,False,1.0
non_video,49,279,0,0,1,11,0.0,False,1.0
non_video,31,208,0,0,1,17,0.0,False,1.0
video,134,256,2,6,2,0,32.5,True,0.0
video,76,162,0,5,4,0,5.4,True,0.0
non_video,83,213,0,0,1,11,0.0,False,0.5
video,101,414,2,2,2,0,51.4,False,0.5
video,113,239,0,7,1,0,5.5,True,0.0
non_video,27,86,0,0,2,8,0.0,False,0.5
non_video,29,388,0,0,1,11,0.0,False,1.0
non_video,135,172,0,0,1,0,0.0,False,0.0
video,69,271,3,1,0,0,46.1,False,0.5
video,25,1165,5,0,1,0,85.2,True,1.0
non_video,115,271,0,0,0,8,0.0,False,0.5
video,140,244,1,7,1,0,38.2,True,0.0
video,48,897,3,1,0,0,90.4,False,1.0
video,60,614,2,2,0,0,97.1,True,1.0
non_video,35,167,0,0,2,6,0.0,False,0.5
non_video,63,467,0,0,1,16,0.0,False,1.0
non_video,70,451,0,0,1,11,0.0,False,1.0
non_video,50,111,0,0,1,3,0.0,False,0.0
non_video,38,323,0,0,0,12,0.0,False,1.0
non_video,15,186,0,0,0,14,0.0,False,1.0
video,297,784,4,3,1,0,80.0,True,0.5
non_video,42,335,0,0,0,16,0.0,False,1.0
video,35,1467,4,0,0,0,96.9,False,1.0
non_video,74,173,0,0,0,9,0.0,False,0.5
non_video,84,266,0,0,0,7,0.0,False,0.5
video,267,1606,2,2,0,0,94.6,False,1.0
